Parameter,Value
n_estimators,753.0
learning_rate,0.01
max_depth,14.0
min_child_weight,6.0
gamma,0.35000000000000003
subsample,0.84
colsample_bytree,0.92
reg_lambda,0.48
reg_alpha,0.33
['F10000ch.3 1130 HZ到 1150 HZ的頻譜帶能量占有比例'],713.0
['F10000ch.2 310 HZ到 330 HZ的頻譜帶能量占有比例'],407.0
['F10000ch.2 970 HZ到 990 HZ的頻譜帶能量'],314.0
['F10000ch.2 450 HZ到 470 HZ的頻譜帶能量'],288.0
['F10000ch.1 2010 HZ到 2030 HZ的頻譜帶能量占有比例'],227.0
['F10000ch.2 570 HZ到 590 HZ的頻譜帶能量占有比例'],420.0
['F10000ch.1 1370 HZ到 1390 HZ的頻譜帶能量'],69.0
['F10000ch.2 2710 HZ到 2730 HZ的頻譜帶能量占有比例'],527.0
['電流訊號F10000 330 HZ到 350 HZ的頻譜帶能量'],861.0
['電流訊號F10000 10 倍頻 '],812.0
['F10000ch.3 1230 HZ到 1250 HZ的頻譜帶能量'],592.0
['電流訊號F10000 330 HZ到 350 HZ的頻譜帶能量'],861.0
['F10000ch.3 2110 HZ到 2130 HZ的頻譜帶能量占有比例'],762.0
['F10000ch.1 4 倍頻 '],5.0
['F10000ch.2 1930 HZ到 1950 HZ的頻譜帶能量占有比例'],488.0
['F10000ch.1 1270 HZ到 1290 HZ的頻譜帶能量'],64.0
['F10000ch.1 1190 HZ到 1210 HZ的頻譜帶能量'],60.0
['F10000ch.3 1070 HZ到 1090 HZ的頻譜帶能量'],584.0
['F10000ch.2 2230 HZ到 2250 HZ的頻譜帶能量'],377.0
['F10000ch.2 870 HZ到 890 HZ的頻譜帶能量占有比例'],435.0
['F10000ch.3 1350 HZ到 1370 HZ的頻譜帶能量占有比例'],724.0
['F10000ch.2 1850 HZ到 1870 HZ的頻譜帶能量占有比例'],484.0
['F10000ch.3 20 倍頻 '],539.0
['F10000ch.1 590 HZ到 610 HZ的頻譜帶能量占有比例'],156.0
['F10000ch.1 410 HZ到 430 HZ的頻譜帶能量'],21.0
['F10000ch.1 1450 HZ到 1470 HZ的頻譜帶能量占有比例'],199.0
['F10000ch.2 2690 HZ到 2710 HZ的頻譜帶能量'],400.0
['F10000ch.2 1410 HZ到 1430 HZ的頻譜帶能量'],336.0
['F10000ch.1 1230 HZ到 1250 HZ的頻譜帶能量'],62.0
['F10000ch.3 950 HZ到 970 HZ的頻譜帶能量占有比例'],704.0
['F10000ch.3 1030 HZ到 1050 HZ的頻譜帶能量'],582.0
['F10000ch.3 2410 HZ到 2430 HZ的頻譜帶能量'],651.0
['F10000ch.3 1230 HZ到 1250 HZ的頻譜帶能量'],592.0
['F10000ch.1 2130 HZ到 2150 HZ的頻譜帶能量占有比例'],233.0
['F10000ch.1 16 倍頻 '],8.0
['F10000ch.1 1390 HZ到 1410 HZ的頻譜帶能量占有比例'],196.0
['F10000ch.2 2410 HZ到 2430 HZ的頻譜帶能量占有比例'],512.0
['F10000ch.2 12 倍頻 '],272.0
['F10000 ch. 3標準差 (Standard Deviation)'],533.0
['F10000ch.1 2250 HZ到 2270 HZ的頻譜帶能量'],113.0
['F10000ch.1 330 HZ到 350 HZ的頻譜帶能量'],17.0
['F10000ch.2 2050 HZ到 2070 HZ的頻譜帶能量占有比例'],494.0
['F10000ch.1 950 HZ到 970 HZ的頻譜帶能量'],48.0
['F10000ch.3 670 HZ到 690 HZ的頻譜帶能量占有比例'],690.0
['F10000ch.1 20 倍頻 '],9.0
['F10000ch.3 950 HZ到 970 HZ的頻譜帶能量占有比例'],704.0
['F10000ch.3 410 HZ到 430 HZ的頻譜帶能量占有比例'],677.0
['F10000ch.3 1330 HZ到 1350 HZ的頻譜帶能量占有比例'],723.0
['F10000ch.2 1510 HZ到 1530 HZ的頻譜帶能量占有比例'],467.0
['F10000ch.1 2530 HZ到 2550 HZ的頻譜帶能量'],127.0
['F10000ch.3 1490 HZ到 1510 HZ的頻譜帶能量'],605.0
['電流訊號F10000 270 HZ到 290 HZ的頻譜帶能量'],858.0
['F10000ch.2 1650 HZ到 1670 HZ的頻譜帶能量占有比例'],474.0
['F10000ch.1 24 倍頻 '],10.0
['F10000ch.2 1930 HZ到 1950 HZ的頻譜帶能量占有比例'],488.0
['F10000ch.1 330 HZ到 350 HZ的頻譜帶能量'],17.0
['電流訊號F10000 15.5 倍頻 '],823.0
['F10000ch.2 530 HZ到 550 HZ的頻譜帶能量'],292.0
['F10000ch.1 2450 HZ到 2470 HZ的頻譜帶能量'],123.0
['F10000ch.3 430 HZ到 450 HZ的頻譜帶能量'],552.0
['F10000ch.2 650 HZ到 670 HZ的頻譜帶能量占有比例'],424.0
['F10000ch.3 1130 HZ到 1150 HZ的頻譜帶能量'],587.0
['F10000ch.3 2690 HZ到 2710 HZ的頻譜帶能量占有比例'],791.0
['F10000ch.2 850 HZ到 870 HZ的頻譜帶能量'],308.0
['F10000ch.1 24 倍頻 '],10.0
['F10000ch.2 2730 HZ到 2750 HZ的頻譜帶能量占有比例'],528.0
['電流訊號F10000 9.5 倍頻 '],811.0
['F10000ch.3 2610 HZ到 2630 HZ的頻譜帶能量占有比例'],787.0
['F10000ch.2 1650 HZ到 1670 HZ的頻譜帶能量'],348.0
['F10000ch.3 1530 HZ到 1550 HZ的頻譜帶能量'],607.0
['F10000ch.2 370 HZ到 390 HZ的頻譜帶能量占有比例'],410.0
